"Numer próbki";"C [%]";"Si [%]";"Mn [%]";"Cu [%]";"Cr [%]";"Mo [%]";"Ni [%]";"Ti [%]";"P [%]";"Al [%]";"S [%]"
1;3,48;2,86;0,24;0,161;0,06;0,004;0,025;0,011;0,049;0,026;0,003
2;3,57;2,95;0,24;0,163;0,06;0,004;0,024;0,011;0,05;0,025;0,001
3;3,68;2,83;0,24;0,16;0,06;0,004;0,024;0,011;0,048;0,02;0,003
4;3,6;2,79;0,24;0,16;0,06;0,004;0,024;0,011;0,047;0,019;0,003
5;3,52;2,8;0,25;0,16;0,06;0,003;0,024;0,011;0,047;0,017;0,002
6;3,54;2,76;0,24;0,236;0,06;0,004;0,023;0,011;0,046;0,017;0,002
7;3,61;2,76;0,24;0,272;0,06;0,004;0,024;0,011;0,048;0,014;0,001
8;3,54;2,77;0,25;0,26;0,07;0,004;0,025;0,011;0,047;0,015;0,002
9;3,63;2,87;0,24;0,246;0,07;0,004;0,027;0,011;0,048;0,016;0,001
10;3,64;2,94;0,28;0,308;0,07;0,004;0,026;0,011;0,047;0,017;0
11;3,65;2,83;0,25;0,263;0,06;0,004;0,025;0,011;0,049;0,026;0,003
12;3,54;2,92;0,24;0,254;0,06;0,004;0,024;0,011;0,05;0,025;0,001
13;3,68;2,93;0,24;0,278;0,07;0,004;0,024;0,011;0,048;0,02;0,003
14;3,66;2,89;0,28;0,301;0,07;0,004;0,024;0,011;0,047;0,019;0,003
15;3,67;2,79;0,28;0,198;0,07;0,003;0,023;0,011;0,047;0,017;0,002
